repairAmount,tsaEligible,damagedStateAbbreviation
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
2653.3,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
5660.0,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
499.5,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
1000.0,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
1000.0,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
1000.0,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
1665.0,0,FL
,1,FL
11788.16,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
499.5,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
1491.01,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
2383.91,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
5761.17,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
2665.0,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
1195.45,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
5660.0,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,1,FL
1000.0,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
15000.0,1,FL
499.5,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,0,FL
,1,FL
,1,FL
,1,FL
,1,FL
,1,FL
,0,FL
